1,1,150,44.053001,41.588001,46.603001,4,.026666667
2,1,150,52.527,44.629002,48.625,4,.026666667
3,1,150,60.625999,48.129002,63.743999,4,.026666667
4,1,150,46.673,47.299999,57.737999,4,.026666667
5,2,750,58.779999,70.403999,59.501999,11,.014666666
6,2,750,54.875999,48.898998,50.055,11,.014666666
7,2,750,45.862999,41.941002,36.924,11,.014666666
8,2,750,47.379002,58.064999,55.419998,11,.014666666
9,2,750,58.640999,51.408001,45.039001,11,.014666666
10,2,750,52.808998,65.414001,63.734001,11,.014666666
11,2,750,46.105999,47.035,43.567001,11,.014666666
12,2,750,47.776001,54.466,58.506001,11,.014666666
13,2,750,52.407001,55.226002,52.584,11,.014666666
14,2,750,45.416,46.608002,41.198002,11,.014666666
15,2,750,39.296001,54.903999,55.839001,11,.014666666
16,3,150,68.567001,60.171001,63.321999,11,.07333333
17,3,150,47.069,48.567001,48.709999,11,.07333333
18,3,150,50.421001,48.192001,58.417999,11,.07333333
19,3,150,56.881001,45.098,58.187,11,.07333333
20,3,150,51.700001,57.980999,57.416,11,.07333333
21,3,150,54.417999,50.512001,49.136002,11,.07333333
22,3,150,67.148003,64.574997,59.782001,11,.07333333
23,3,150,57.120998,60.346001,43.285999,11,.07333333
24,3,150,59.18,58.221001,54.814999,11,.07333333
25,3,150,49.132999,52.391998,49.216999,11,.07333333
26,3,150,54.710999,40.449001,55.928001,11,.07333333
27,4,300,62.050999,62.280998,52.576,13,.043333333
28,4,300,47.209,44.467999,43.185001,13,.043333333
29,4,300,40.424999,42.042,46.943001,13,.043333333
30,4,300,38.779999,42.412998,37.710999,13,.043333333
31,4,300,53.216999,48.037998,41.262001,13,.043333333
32,4,300,51.077,44.728001,56.194,13,.043333333
33,4,300,24.823,28.809,32.849998,13,.043333333
34,4,300,38.773998,46.98,37.91,13,.043333333
35,4,300,28.514999,39.268002,32.733002,13,.043333333
36,4,300,32.903,37.561001,49.250999,13,.043333333
37,4,300,53.284,56.041,48.467999,13,.043333333
38,4,300,34.484001,46.151001,45.622002,13,.043333333
39,4,300,50.730999,52.944,50.937,13,.043333333
40,5,150,45.734001,48.855,48.032001,19,.12666667
41,5,150,51.772999,54.437,51.501999,19,.12666667
42,5,150,45.904999,47.834,56.848,19,.12666667
43,5,150,46.77,59.780998,40.779999,19,.12666667
44,5,150,52.334,49.603001,56.167,19,.12666667
45,5,150,51.258999,49.067001,56.567001,19,.12666667
46,5,150,46.860001,43.598,42.352001,19,.12666667
47,5,150,43.98,44.396,59.907001,19,.12666667
48,5,150,48.501999,44.201,45.214001,19,.12666667
49,5,150,31.981001,41.701,48.344002,19,.12666667
50,5,150,65.439003,53.130001,57.779999,19,.12666667
51,5,150,51.403999,46.862,49.373001,19,.12666667
52,5,150,65.777,64.303001,70.084999,19,.12666667
53,5,150,58.456001,68.365997,58.176998,19,.12666667
54,5,150,51.359001,49.099998,50.514,19,.12666667
55,5,150,61.799,59.973999,62.360001,19,.12666667
56,5,150,55.257999,59.483002,58.563,19,.12666667
57,5,150,51.178001,48.662998,47.549999,19,.12666667
58,5,150,56.82,51.026001,63.181,19,.12666667
59,6,150,34.793999,41.715,49.390999,16,.10666667
60,6,150,46.750999,42.667,50.016998,16,.10666667
61,6,150,51.868,59.868,46.994999,16,.10666667
62,6,150,27.646999,34.445999,38.713001,16,.10666667
63,6,150,50.342999,51.449001,48.867001,16,.10666667
64,6,150,29.898001,35.602001,46.627998,16,.10666667
65,6,150,55.308998,57.240002,57.056,16,.10666667
66,6,150,48.200001,52.803001,53.418999,16,.10666667
67,6,150,41.882999,47.555,41.518002,16,.10666667
68,6,150,44.310001,42.117001,37.261002,16,.10666667
69,6,150,50.91,54.783001,50.653,16,.10666667
70,6,150,49.220001,42.562,47.945,16,.10666667
71,6,150,61.542999,56.719002,66.422997,16,.10666667
72,6,150,50.77,47.665001,50.262001,16,.10666667
73,7,500,63.972,53.312,59.729,20,.039999999
74,7,500,54.563,49.851002,50.471001,20,.039999999
75,7,500,45.473999,47.446999,57.639,20,.039999999
76,7,500,64.397003,65.666,66.949997,20,.039999999
77,7,500,51.393002,62.966999,56.862999,20,.039999999
78,7,500,35.382999,33.813999,48.359001,20,.039999999
79,7,500,65.355003,61.394001,59.606998,20,.039999999
80,7,500,50.345001,44.422001,49.381001,20,.039999999
81,7,500,49.445999,52.353001,47.326,20,.039999999
82,7,500,48.681,47.43,52.394001,20,.039999999
83,7,500,57.084999,55.362999,53.979,20,.039999999
84,7,500,54.224998,52.382,46.568001,20,.039999999
85,7,500,25.15,42.679001,56.846001,20,.039999999
86,7,500,46.240002,43.442001,49.271,20,.039999999
87,7,500,66.086998,59.280998,58.658001,20,.039999999
88,7,500,46.660999,57.048,45.766998,20,.039999999
89,7,500,58.819,56.778999,55.916,20,.039999999
90,7,500,52.700001,46.463001,47.175999,20,.039999999
91,8,300,63.459,60.577,71.005997,8,.026666667
92,8,300,40.846001,40.554001,49.083,8,.026666667
93,8,300,28.867001,34.808998,50.312,8,.026666667
94,8,300,49.985001,52.655998,55.932999,8,.026666667
95,8,300,59.694,61.855999,60.460999,8,.026666667
96,8,300,72.192001,61.619999,70.786003,8,.026666667
97,8,300,59.087002,47.521,60.668999,8,.026666667
98,9,500,55.348,52.622002,49.651001,16,.032000002
99,9,500,56.303001,66.806,56.501999,16,.032000002
100,9,500,39.617001,35.313999,53.855,16,.032000002
101,9,500,47.214001,50.299999,50.922001,16,.032000002
102,9,500,61.271999,61.771999,58.730999,16,.032000002
